Medida;Tipo de medida;Acciones;Descripción de la accion;Área municipal responsable;Colaboradores;Posibles fuentes de financiamiento;Otros medios de implementación;Indicadores de orientación;Medio de verificación;Plazo máximo;Costo;Transformaciones;Comuna;Pagina donde empiezas a extraer la informacion de la fila
Fomento a la electromovilidad en el sector privado y municipal;Mitigación;Movilidad Sustentable 2.2;Generar un plan de recambio de flota vehicular municipal por vehículos eléctricos o híbridos.;SECPLAN;Privados, Gobierno Regional, SEREMI Energía;Financiamiento privado. Financiamiento sectorial desde la SUBDERE, Ministerio de Transporte y Telecomunicaciones. Financiamiento regional desde el GORE y presupuesto municipal.;Coordinación con SEREMI de Energía y empresas de estaciones de servicios y/o distribuidora eléctrica local para instalación de un punto de carga.;Indicador 1 Cantidad de cargadores instalados en la comuna.;Plan presentado a Concejo para aprobación;2027;$0;Movilidad sostenible;La Unión;242
Aumentar la valorización de residuos orgánicos generados a nivel municipal;Mitigación;Economía circular 1.1;Identificar proyectos de otras instituciones que pudiesen ser postulados desde la comuna para financiar los sistemas de compostaje.;Medio ambiente, Aseo y Ornato;Gobierno Regional; Subdere;Presupuesto sectorial de la Subsecretaría de Desarrollo Regional a través de su Programa de Mejoramiento de Barrios (PMB) Gobierno Regional a través del FNDR o del Fondo Regional de Interés Local (FRIL) Presupuesto sectorial del Ministerio del Medio Ambiente a través de su Fondo para el Reciclaje (FPR);Educación sobre el buen uso de las composteras y el seguimiento a los usuarios es crítico para el éxito de la medida. Identificación de los principales generadores de residuos orgánicos y coordinación para que entreguen sus residuos. Identificación y coordinación de instancias para el uso del compost.;Indicador 1 Cantidad de residuos orgánicos valorizados;Listado de fuentes de financiamiento identificadas.;2025;$10.000.000;Economía circular;La Unión;253
Aumentar la valorización de residuos orgánicos generados a nivel municipal;Mitigación;Economía circular 1.2;Seleccionar los proyectos a ejecutar, evaluando la pertinencia de las escalas de compostaje: doméstica, comunitaria o comunal.;Medio ambiente, Aseo y Ornato;Gobierno Regional; Subdere;Presupuesto sectorial de la Subsecretaría de Desarrollo Regional a través de su Programa de Mejoramiento de Barrios (PMB) Gobierno Regional a través del FNDR o del Fondo Regional de Interés Local (FRIL) Presupuesto sectorial del Ministerio del Medio Ambiente a través de su Fondo para el Reciclaje (FPR);Educación sobre el buen uso de las composteras y el seguimiento a los usuarios es crítico para el éxito de la medida. Identificación de los principales generadores de residuos orgánicos y coordinación para que entreguen sus residuos. Identificación y coordinación de instancias para el uso del compost.;Indicador 1 Cantidad de residuos orgánicos valorizados;Informe con proyectos seleccionados con su respectiva escala.;2026;$0;Economía circular;La Unión;253
Aumentar la valorización de residuos orgánicos generados a nivel municipal;Mitigación;Economía circular 1.3;Ejecutar los proyectos, incluyendo instancias de educación y sensibilización a los usuarios, con seguimiento de al menos un año.;Medio ambiente, Aseo y Ornato;Gobierno Regional; Subdere;Presupuesto sectorial de la Subsecretaría de Desarrollo Regional a través de su Programa de Mejoramiento de Barrios (PMB) Gobierno Regional a través del FNDR o del Fondo Regional de Interés Local (FRIL) Presupuesto sectorial del Ministerio del Medio Ambiente a través de su Fondo para el Reciclaje (FPR);Educación sobre el buen uso de las composteras y el seguimiento a los usuarios es crítico para el éxito de la medida. Identificación de los principales generadores de residuos orgánicos y coordinación para que entreguen sus residuos. Identificación y coordinación de instancias para el uso del compost.;Indicador 1 Cantidad de residuos orgánicos valorizados;Contratos, convenios de colaboración, u otro documento que dé cuenta del inicio de los proyectos.;2030;$5.000.000;Economía circular;La Unión;254
Aumentar la valorización de residuos orgánicos generados a nivel municipal;Mitigación;Economía circular 1.4;Coordinar con la comunidad educativa para la ejecución de proyectos de compostaje, incluyendo la sensibilización de la comunidad educativa.;Medio ambiente, Aseo y Ornato;Gobierno Regional; Subdere;Presupuesto sectorial de la Subsecretaría de Desarrollo Regional a través de su Programa de Mejoramiento de Barrios (PMB) Gobierno Regional a través del FNDR o del Fondo Regional de Interés Local (FRIL) Presupuesto sectorial del Ministerio del Medio Ambiente a través de su Fondo para el Reciclaje (FPR);Educación sobre el buen uso de las composteras y el seguimiento a los usuarios es crítico para el éxito de la medida. Identificación de los principales generadores de residuos orgánicos y coordinación para que entreguen sus residuos. Identificación y coordinación de instancias para el uso del compost.;Indicador 1 Cantidad de residuos orgánicos valorizados;Actas de reuniones.;2030;$3.000.000;Economía circular;La Unión;254
Aumentar la valorización de residuos orgánicos generados a nivel municipal;Mitigación;Economía circular 1.5;Generar las instancias para el aprovechamiento del compost por terceros a través de convenios o contratos, o por la misma Municipalidad.;Medio ambiente, Aseo y Ornato;Gobierno Regional; Subdere;Presupuesto sectorial de la Subsecretaría de Desarrollo Regional a través de su Programa de Mejoramiento de Barrios (PMB) Gobierno Regional a través del FNDR o del Fondo Regional de Interés Local (FRIL) Presupuesto sectorial del Ministerio del Medio Ambiente a través de su Fondo para el Reciclaje (FPR);Educación sobre el buen uso de las composteras y el seguimiento a los usuarios es crítico para el éxito de la medida. Identificación de los principales generadores de residuos orgánicos y coordinación para que entreguen sus residuos. Identificación y coordinación de instancias para el uso del compost.;Indicador 1 Cantidad de residuos orgánicos valorizados;Convenios o contratos firmados, y/o registro del uso del compost por parte de la Municipalidad.;2027;;Economía circular;La Unión;255
Aumentar la valorización de residuos orgánicos generados a nivel municipal;Mitigación;Economía circular 1.6;Realizar ciclo de charlas para concientizar a la población respecto a la correcta disposición de residuos y el compostaje como alternativa de valorización de materia orgánica, en cumplimiento de la acción "Ciclo de charlas sobre residuos" de la "Línea 3. Mejorar gestión de residuos" de la Estrategia Ambiental Comunal.;Medio ambiente, Aseo y Ornato;Gobierno Regional; Subdere;Presupuesto sectorial de la Subsecretaría de Desarrollo Regional a través de su Programa de Mejoramiento de Barrios (PMB) Gobierno Regional a través del FNDR o del Fondo Regional de Interés Local (FRIL) Presupuesto sectorial del Ministerio del Medio Ambiente a través de su Fondo para el Reciclaje (FPR);Educación sobre el buen uso de las composteras y el seguimiento a los usuarios es crítico para el éxito de la medida. Identificación de los principales generadores de residuos orgánicos y coordinación para que entreguen sus residuos. Identificación y coordinación de instancias para el uso del compost.;Indicador 1 Cantidad de residuos orgánicos valorizados;Presentación en pdf y lista de registro de participantes.;2026;;Economía circular;La Unión;255
Aumentar la valorización de residuos orgánicos generados a nivel municipal;Mitigación;Economía circular 1.7;Fiscalización municipal de la correcta disposición de residuos orgánicos, incluyendo a empresas.;Medio ambiente, Aseo y Ornato;Gobierno Regional; Subdere;Presupuesto sectorial de la Subsecretaría de Desarrollo Regional a través de su Programa de Mejoramiento de Barrios (PMB) Gobierno Regional a través del FNDR o del Fondo Regional de Interés Local (FRIL) Presupuesto sectorial del Ministerio del Medio Ambiente a través de su Fondo para el Reciclaje (FPR);Educación sobre el buen uso de las composteras y el seguimiento a los usuarios es crítico para el éxito de la medida. Identificación de los principales generadores de residuos orgánicos y coordinación para que entreguen sus residuos. Identificación y coordinación de instancias para el uso del compost.;Indicador 1 Cantidad de residuos orgánicos valorizados;Cumplimiento del esquema de fiscalización.;2030;;Economía circular;La Unión;256
Elaborar un plan para reducir pérdidas y desperdicios de alimentos;Mitigación;Economía Circular 2.1;Implementar una campaña de difusión y concientización respecto al desperdicio de alimentos, enfocándose en instituciones clave como colegios y casinos.;Departamento de Medio ambiente, Aseo y Ornato. DAEM;Asociación de Municipalidades de la Región de Los Ríos para el Manejo Sustentable de Residuos y la Gestión Ambiental Establecimientos educacionales Sector privado JUNAEB JUNJI;Presupuesto municipal Gobierno Regional Fondos Elige Vivir Sano del Ministerio de Desarrollo Social;Acciones de coordinación con generadores de desperdicios de alimentos Coordinación con Ministerio de Desarrollo Social para Banco de Alimentos (trabajado en conjunto con Corporación Observatorio del Mercado Alimentario (Codema) y la Asociación Chilena de Organizaciones de Ferias Libres (ASOF));Indicador 1 Cantidad de alimentos recuperados o revalorizados;Registros de la campaña ejecutada;2030;$3.000.000;Economía circular;La Unión;257
Elaborar un plan para reducir pérdidas y desperdicios de alimentos;Mitigación;Economía Circular 2.2;Coordinar con restaurantes y servicios turísticos de la comuna para que tengan desperdicio cero de alimentos.;Departamento de Medio ambiente, Aseo y Ornato. DAEM;Asociación de Municipalidades de la Región de Los Ríos para el Manejo Sustentable de Residuos y la Gestión Ambiental Establecimientos educacionales Sector privado JUNAEB JUNJI;Presupuesto municipal Gobierno Regional Fondos Elige Vivir Sano del Ministerio de Desarrollo Social;Acciones de coordinación con generadores de desperdicios de alimentos Coordinación con Ministerio de Desarrollo Social para Banco de Alimentos (trabajado en conjunto con Corporación Observatorio del Mercado Alimentario (Codema) y la Asociación Chilena de Organizaciones de Ferias Libres (ASOF));Indicador 1 Cantidad de alimentos recuperados o revalorizados;Actas de reuniones, mesas de trabajo establecidas, o convenios de colaboración firmados.;2030;$2.500.000;Economía circular;La Unión;257
Elaborar un plan para reducir pérdidas y desperdicios de alimentos;Mitigación;Economía Circular 2.3;Implementar medidas para que los casinos de jardines infantiles, escuelas y otros edificios públicos implementen una política de desperdicio cero de alimentos.;Departamento de Medio ambiente, Aseo y Ornato. DAEM;Asociación de Municipalidades de la Región de Los Ríos para el Manejo Sustentable de Residuos y la Gestión Ambiental Establecimientos educacionales Sector privado JUNAEB JUNJI;Presupuesto municipal Gobierno Regional Fondos Elige Vivir Sano del Ministerio de Desarrollo Social;Acciones de coordinación con generadores de desperdicios de alimentos Coordinación con Ministerio de Desarrollo Social para Banco de Alimentos (trabajado en conjunto con Corporación Observatorio del Mercado Alimentario (Codema) y la Asociación Chilena de Organizaciones de Ferias Libres (ASOF));Indicador 1 Cantidad de alimentos recuperados o revalorizados;Actas de reuniones, mesas de trabajo establecidas, o convenios de colaboración firmados.;2030;$0;Economía circular;La Unión;257
Elaborar un plan para reducir pérdidas y desperdicios de alimentos;Mitigación;Economía Circular 2.4;Coordinar con Ministerio de Desarrollo Social para ampliar la implementación de banco de alimentos comunal, considerando colaboración con ferias libres y supermercados.;Departamento de Medio ambiente, Aseo y Ornato. DAEM;Asociación de Municipalidades de la Región de Los Ríos para el Manejo Sustentable de Residuos y la Gestión Ambiental Establecimientos educacionales Sector privado JUNAEB JUNJI;Presupuesto municipal Gobierno Regional Fondos Elige Vivir Sano del Ministerio de Desarrollo Social;Acciones de coordinación con generadores de desperdicios de alimentos Coordinación con Ministerio de Desarrollo Social para Banco de Alimentos (trabajado en conjunto con Corporación Observatorio del Mercado Alimentario (Codema) y la Asociación Chilena de Organizaciones de Ferias Libres (ASOF));Indicador 1 Cantidad de alimentos recuperados o revalorizados;Actas de reuniones, mesas de trabajo establecidas, o convenios de colaboración firmados.;2030;$0;Economía circular;La Unión;258
Medida de fortalecimiento para la agenda climática del Municipio;Transversal;Transversal 1;Abogar por la creación de un Convenio de Programación Territorial con el Gobierno Regional, que incorpore los objetivos descritos en la medida.;SECPLAN;Gobierno Regional;Presupuesto municipal y del Gobierno Regional;Creación de Convenio de Programación Territorial con el GORE de carácter plurianual, estableciendo presupuestos y objetivos por el plazo establecido en el PACCC.;Indicador Convenio de Programación Territorial con el Gobierno Regional aprobado por resolución.;Oficio enviado al GORE.;2025;;Medida Transversal;La Unión;262
Medida de fortalecimiento para la agenda climática del Municipio;Transversal;Transversal 2;Continuar con el convenio con el Ministerio del Medio Ambiente en su programa de certificación ambiental municipal.;SECPLAN;Gobierno Regional;Presupuesto municipal y del Gobierno Regional;Creación de Convenio de Programación Territorial con el GORE de carácter plurianual, estableciendo presupuestos y objetivos por el plazo establecido en el PACCC.;Indicador Convenio de Programación Territorial con el Gobierno Regional aprobado por resolución.;Convenio vigente;2030;;Medida Transversal;La Unión;262
